pid	sen_a	sen_b	label
2210	What are some of the common street names of drugs used illicitly?	What are some of the common street names of illicit drugs?	true
2211	How much aspirin is in a baby aspirin?	How much aspirin is in a baby aspirin?	true
2212	How much aspirin is in a baby aspirin?	How should I treat polymenorrhea in a 14-year-old girl?	false
2213	What is the dose of aspirin needed to prevent TIAs (transient ischemic attacks)?	What is the dose of aspirin needed to prevent TIAs (transient ischemic attacks)?	true
2214	What is the dose of aspirin needed to prevent TIAs (transient ischemic attacks)?	What is the dose of Sporanox?	false
2215	What would cause hot flashes in a 44-year-old woman who is still having periods?	What would cause hot flashes in a 44-year-old woman who is still having periods?	true
2216	What would cause hot flashes in a 44-year-old woman who is still having periods?	What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)	false
2217	What would cause transverse nail ridging in a 31-year-old woman on her thumbnails?  (photo taken)	What would cause transverse thumbnail ridging in a 31-year-old woman?	true
2218	What would cause transverse nail ridging in a 31-year-old woman on her thumbnails?  (photo taken)	Let's give these immunizations.  That's right isn't it?	false
2219	Is it okay to take cafergot if you are breast feeding?	Is it okay to take cafergot if you are breast feeding?	true
2220	Is it okay to take cafergot if you are breast feeding?	What is the cause and treatment of this old man's stomatitis?	false
2221	How should you work up someone for an acoustic neuroma?  Is there a characteristic audiogram?  If tinnitus only, do workup?  Cause of isolated 40 decibel loss at 500 hertz?	How should you workup someone for an acoustic neuroma?	true
2222	How should you work up someone for an acoustic neuroma?  Is there a characteristic audiogram?  If tinnitus only, do workup?  Cause of isolated 40 decibel loss at 500 hertz?	Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?	false
2223	What do you do with someone who has unexpected mild elevations of AST (aspartate aminotransferase) and/or ALT (alanine aminotransferase) on chemistry panel?	What do you do with someone who has mild elevations of alanine aminotransferase?	true
2224	What do you do with someone who has unexpected mild elevations of AST (aspartate aminotransferase) and/or ALT (alanine aminotransferase) on chemistry panel?	Obstetric patient, 4 centimeters behind on fundal height. When do I get worried? When nonstress tests? When induction?	false
2225	What is Zoloft (sertraline)?  It may be an antidepressant similar to Prozac.	What is Zoloft (sertraline)?	true
2226	What is Zoloft (sertraline)?  It may be an antidepressant similar to Prozac.	Can you use Prozac along with lithium?	false
2227	Can Nizoral (ketoconazole) cream be used to treat seborrheic dermatitis?	Can Nizoral (ketoconazole) cream be used to treat seborrheic dermatitis?	true
2228	Can Nizoral (ketoconazole) cream be used to treat seborrheic dermatitis?	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	false
2229	Can sepsis cause an increase in the indirect bilirubin?	Can sepsis cause an increase in the indirect bilirubin?	true
2230	Can sepsis cause an increase in the indirect bilirubin?	How should I treat polymenorrhea in a 14-year-old girl?	false
2231	Does it make sense to inject trigger points for chronic pelvic pain?	Does it make sense to inject trigger points for chronic pelvic pain?	true
2232	Does it make sense to inject trigger points for chronic pelvic pain?	What are criteria for obsessive compulsive disorder in male teenager, doing lots of handwashing and so on?	false
2233	Is Rogaine okay to use for female pattern baldness?  What pattern does female baldness take?	Is Rogaine okay to use for female pattern baldness?	true
2234	Is Rogaine okay to use for female pattern baldness?  What pattern does female baldness take?	Why did she get Coccidiomycosis?	false
2235	Should the male partner of someone with HPV (human papillomavirus) changes on cervical biopsy have androscopy?	Should the male partner of someone with human papillomavirus on cervical biopsy have androscopy?	true
2236	Should the male partner of someone with HPV (human papillomavirus) changes on cervical biopsy have androscopy?	How should I treat polymenorrhea in a 14-year-old girl?	false
2237	What is the postcholecystectomy syndrome?  What are the symptoms?  How are the symptoms different from dumping syndrome?  (Patient with epigastric pain when stomach empty since cholecystectomy; another patient with diarrhea.)	What is the postcholecystectomy syndrome?	true
2238	What is the postcholecystectomy syndrome?  What are the symptoms?  How are the symptoms different from dumping syndrome?  (Patient with epigastric pain when stomach empty since cholecystectomy; another patient with diarrhea.)	What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)	false
2239	What is the lifetime incidence of breast cancer and how much is this increased if you have fibrocystic breast disease?	What is the lifetime incidence of breast cancer?	true
2240	What is the lifetime incidence of breast cancer and how much is this increased if you have fibrocystic breast disease?	Why did she get Coccidiomycosis?	false
2241	How do you check for coronary artery spasm during cardiac catheterization?  Inject ergonovine?	How do you check for coronary artery spasm during cardiac catheterization?	true
2242	What do you do when the patient complains of vaginal discharge, lots of white cells seen on wet mount and Papanicolaou smear (inflammatory pap smear), cervix red, pH normal, negative wet mount (no clue cells), negative KOH (potassium hydroxide)?	What do you do when the patient complains of vaginal discharge, lots of white cells seen on wet mount, which is otherwise negative, and negative KOH (potassium hydroxide)?	true
2243	What do you do when the patient complains of vaginal discharge, lots of white cells seen on wet mount and Papanicolaou smear (inflammatory pap smear), cervix red, pH normal, negative wet mount (no clue cells), negative KOH (potassium hydroxide)?	Let's give these immunizations.  That's right isn't it?	false
2244	Is there any relationship between pseudocholinesterase deficiency and malignant hyperthermia?  What are they?	Is there any relationship between pseudocholinesterase deficiency and malignant hyperthermia?	true
2245	What is the maximum dose of ibuprofen?  Can you give 800 milligrams four times a day?	What is the maximum dose of ibuprofen?	true
2246	What is the maximum dose of ibuprofen?  Can you give 800 milligrams four times a day?	What is the cause and treatment of this old man's stomatitis?	false
2247	Sort out "e" to "a" changes, vocal fremitus, tactile fremitus, "99."	Sort out "e" to "a" changes, vocal fremitus, tactile fremitus, "99."	true
2248	Sort out "e" to "a" changes, vocal fremitus, tactile fremitus, "99."	What is this rash, looks like impetigo, comes every April and May?	false
2249	What is a Hepatolite scan (questionably the same as a PAPIDA scan)?	What is a Hepatolite scan?	true
2250	What is a Hepatolite scan (questionably the same as a PAPIDA scan)?	How do you use Redux?  What are the indications?	false
2251	What is the significance of mucin clot and fibrin clot on synovial fluid analysis?	What is the significance of mucin clot and fibrin clot on synovial fluid analysis?	true
2252	What is the significance of mucin clot and fibrin clot on synovial fluid analysis?	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	false
2253	How do you approach the situation of a pregnant woman's exposure to chicken pox?	How do you approach the situation of a pregnant woman's exposure to chicken pox?	true
2254	How do you approach the situation of a pregnant woman's exposure to chicken pox?	Patient reluctant to take medication. How to control hypertension and still get her cooperation?	false
2255	Why is the respiratory drive of someone with COPD (chronic obstructive pulmonary disease) driven by pO2 rather than PCO2?	Why is the respiratory drive of someone with chronic obstructive pulmonary disease driven by pO2 rather than PCO2?	true
2256	Why is the respiratory drive of someone with COPD (chronic obstructive pulmonary disease) driven by pO2 rather than PCO2?	What size pills does digoxin come in?	false
2257	What harm does it do to have a low pO2 (for example, 50 or 48) if it's chronic and the patient is not uncomfortable?	What harm does it do to have a low pO2 (for example, 50 or 48) if it's chronic and the patient is not uncomfortable?	true
2258	What harm does it do to have a low pO2 (for example, 50 or 48) if it's chronic and the patient is not uncomfortable?	Should we do a head CT (computerized tomography) with contrast tomorrow (Saturday) or MRI (magnetic resonance imaging) Monday?	false
2259	What is the oxygen dissociation curve?	What is the oxygen dissociation curve?	true
2260	What is the oxygen dissociation curve?	Boys' father has Marfan's Syndrome. Do these boys need further evaluation?	false
2261	Of what value is it to know the A-a gradient (alveolar-arterial difference) on blood gases?  How is it used clinically?	Of what value is it to know the A-a gradient (alveolar-arterial difference) on blood gases?	true
2262	Of what value is it to know the A-a gradient (alveolar-arterial difference) on blood gases?  How is it used clinically?	What is the dose of Famvir?	false
2263	How often does an acute cholecystitis present with left-sided abdominal pain?	How often does acute cholecystitis present with left-sided abdominal pain?	true
2264	How often does an acute cholecystitis present with left-sided abdominal pain?	What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)	false
2265	What are the indications for tapping a pleural effusion or empyema associated with a pneumonia?	What are the indications for tapping a pleural effusion or empyema associated with pneumonia?	true
2266	What are the indications for tapping a pleural effusion or empyema associated with a pneumonia?	What are the causes of tinnitus?	false
2267	What does the ferritin level do in anemia of chronic disease?	What does the ferritin level do in anemia of chronic disease?	true
2268	What does the ferritin level do in anemia of chronic disease?	I wonder if this patient could have a rotator cuff thing?	false
2269	What antibiotic should you use in someone with a COPD (chronic obstructive pulmonary disease) exacerbation who requires admission?	What antibiotic should you use in a chronic obstructive pulmonary disease exacerbation?	true
2270	What antibiotic should you use in someone with a COPD (chronic obstructive pulmonary disease) exacerbation who requires admission?	Are her symptoms (sweating, feeling of being stimulated, nervous) due to Paxil?	false
2271	If you are treating someone for hypothyroidism and the TSH (thyroid stimulating hormone) is high (14) and the T4 (thyroxine) is normal, should you go up on the Synthroid?	If the thyroid stimulating hormone is high and the thyroxine is normal, should you go up on the Synthroid?	true
2272	If you are treating someone for hypothyroidism and the TSH (thyroid stimulating hormone) is high (14) and the T4 (thyroxine) is normal, should you go up on the Synthroid?	How do you use Redux?  What are the indications?	false
2273	Why does the X Hospital laboratory check for ascorbic acid in the urine?	Why does the laboratory check for ascorbic acid in the urine?	true
2274	Why does the X Hospital laboratory check for ascorbic acid in the urine?	Boys' father has Marfan's Syndrome. Do these boys need further evaluation?	false
2275	Does it make any difference whether the total daily dose of methylprednisolone you give for COPD (chronic obstructive pulmonary disease) exacerbation is given every 12 hours or every 6 hours?	Does it matter whether the total daily dose of methylprednisolone is given every 12 hours versus every 6 hours?	true
2276	Does it make any difference whether the total daily dose of methylprednisolone you give for COPD (chronic obstructive pulmonary disease) exacerbation is given every 12 hours or every 6 hours?	What size pills does digoxin come in?	false
2277	What is cerebral palsy?  How do you diagnose and treat it?  What is the etiology?  What is the pathogenesis?	What is cerebral palsy?	true
2278	What is cerebral palsy?  How do you diagnose and treat it?  What is the etiology?  What is the pathogenesis?	What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)	false
2279	Why does alcoholism cause hypoglycemia? (blood sugar = 13)	Why does alcoholism cause hypoglycemia?	true
2280	Why does alcoholism cause hypoglycemia? (blood sugar = 13)	Boys' father has Marfan's Syndrome. Do these boys need further evaluation?	false
2281	Is there any association between thyroid function and urticaria?  A patient's urticaria got better when she was hypothyroid and worse when given replacement therapy.	Is there any association between thyroid function and urticaria?	true
2282	Is there any association between thyroid function and urticaria?  A patient's urticaria got better when she was hypothyroid and worse when given replacement therapy.	What is in Ortho Novum 1/35?	false
2283	A patient heard that nicotine patches can cause myocardial infarction.  Is this true?  She heard it on the news.	Can nicotine patches cause myocardial infarction?	true
2284	A patient heard that nicotine patches can cause myocardial infarction.  Is this true?  She heard it on the news.	What antibiotic should I use for this diabetic patient's infected foot ulcer?	false
2285	What should you do with someone who has a persistently high sedimentation rate but normal physical exam, CBC (complete blood count and chemistries (sedimentation rate 30-40)?  38-year-old woman with headaches daily.	What should you do with a persistently high sedimentation rate but normal physical exam?	true
2286	What should you do with someone who has a persistently high sedimentation rate but normal physical exam, CBC (complete blood count and chemistries (sedimentation rate 30-40)?  38-year-old woman with headaches daily.	Is it possible for someone to get recurrent pelvic inflammatory disease without a new exposure?	false
2287	How do you classify pelvic fractures?	How do you classify pelvic fractures?	true
2288	How do you classify pelvic fractures?	Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?	false
2289	How often should you get LFT's (liver function tests) and CBC (complete blood count) on someone taking Antabuse (disulfiram) or should you at all?	How often should you get liver function tests and blood counts on someone taking Antabuse?	true
2290	How often should you get LFT's (liver function tests) and CBC (complete blood count) on someone taking Antabuse (disulfiram) or should you at all?	I wonder if this patient could have a rotator cuff thing?	false
2291	What is the full reference for the uniform requirements for manuscripts in Annals of Internal Medicine?	What is the reference for the Uniform Requirements for manuscripts in Annals of Internal Medicine?	true
2292	Is the bleeding (spotting) that occurs at the time of ovulation described anywhere?	Is the vaginal bleeding (spotting) at the time of ovulation described anywhere?	true
2293	Is the bleeding (spotting) that occurs at the time of ovulation described anywhere?	Why did she get Coccidiomycosis?	false
2294	What is heel pain syndrome?	What is heel pain syndrome?	true
2295	What is heel pain syndrome?	What is in Ortho Novum 1/35?	false
2296	What do you do with someone who has 7 days of heavy bleeding with Norplant in for one year?	What do you do for seven days of heavy bleeding when the Norplant has been in for one year?	true
2297	What do you do with someone who has 7 days of heavy bleeding with Norplant in for one year?	How do you inject the bicipital tendon?	false
2298	How well-described is the "limbic flush" -- the rash that comes on a patient's neck when they are embarrassed about being examined?	How well-described is the "limbic flush"?	true
2299	How well-described is the "limbic flush" -- the rash that comes on a patient's neck when they are embarrassed about being examined?	How should I treat polymenorrhea in a 14-year-old girl?	false
2300	Is diabetes a risk factor for carpal tunnel syndrome?	Is diabetes a risk factor for carpal tunnel syndrome?	true
2301	Is diabetes a risk factor for carpal tunnel syndrome?	What is the dose of Famvir?	false
2302	Is follicular carcinoma of the thyroid hereditary?  What is the hereditary one?	Is follicular carcinoma of the thyroid hereditary?	true
2303	Is follicular carcinoma of the thyroid hereditary?  What is the hereditary one?	How should I treat polymenorrhea in a 14-year-old girl?	false
2304	What is the reference for the article on arthrocentesis technique?	What is the reference to the article on arthrocentesis technique?	true
2305	A 34-year-old woman with endometriosis and on progesterone and with increased iron (approximately 230).  Will this hurt her liver, heart, endocrine system?	A woman with endometriosis on progesterone and with increased iron.  Will this hurt her liver, heart, endocrine system?	true
2306	A 34-year-old woman with endometriosis and on progesterone and with increased iron (approximately 230).  Will this hurt her liver, heart, endocrine system?	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	false
2307	Can oral contraceptives cause a bone infarct (aseptic necrosis) in the tibia?	Can oral contraceptives cause a bone infarct (aseptic necrosis) in the tibia?	true
2308	Can oral contraceptives cause a bone infarct (aseptic necrosis) in the tibia?	Boys' father has Marfan's Syndrome. Do these boys need further evaluation?	false
2309	Who with vertigo, no hearing loss and no tinnitus needs workup for acoustic neuroma (for example, magnetic resonance imaging)?  How can you avoid an expensive workup and referral to otolaryngology with a patient with vertigo?	Who with vertigo, no hearing loss and no tinnitus needs workup for acoustic neuroma?	true
2310	Who with vertigo, no hearing loss and no tinnitus needs workup for acoustic neuroma (for example, magnetic resonance imaging)?  How can you avoid an expensive workup and referral to otolaryngology with a patient with vertigo?	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	false
2311	What are the Waddell incongruency signs for nonorganic low back pain?	What are the Waddell incongruency signs for low back pain?	true
2312	What are the Waddell incongruency signs for nonorganic low back pain?	What antibiotics can he take because he's on a nevirapine study?	false
2313	How likely is it that a normal adult would get oral Candida (thrush)?  How aggressively should they be worked up for immunosuppression?	How likely is it that a normal adult would get oral Candida?	true
2314	How likely is it that a normal adult would get oral Candida (thrush)?  How aggressively should they be worked up for immunosuppression?	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	false
2315	How good is the evidence that Karo syrup causes infant botulism?	How good is the evidence that Karo syrup causes infant botulism?	true
2316	How good is the evidence that Karo syrup causes infant botulism?	Is Serzone okay to give to with a partial gastrectomy; that is, will it be absorbed?	false
2317	What is the best way to give the Centers-for-Disease-Control-recommended folic acid 0.4 milligrams to women of child-bearing age?	What is the best way to give the recommended folic acid 0.4 milligrams to women of child-bearing age?	true
2318	What is the best way to give the Centers-for-Disease-Control-recommended folic acid 0.4 milligrams to women of child-bearing age?	How do you use Redux?  What are the indications?	false
2319	What is a good protocol for diagnosis and treatment of corneal foreign body?	What is a good protocol for diagnosis and treatment of corneal foreign body?	true
2320	What is a good protocol for diagnosis and treatment of corneal foreign body?	What is the dose of Bactrim for a 7-year-old, 57-pound girl with a urinary tract infection?	false
2321	What is Fragile X syndrome?  Related to 49 year-old patient of Dr. X with colitis and mental retardation.	What is Fragile X syndrome?	true
2322	What is Fragile X syndrome?  Related to 49 year-old patient of Dr. X with colitis and mental retardation.	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	false
2323	What is the reference to that article on what to do with abnormal liver function tests in apparently normal people?  How do you work them up?	What is the article on what to do with abnormal liver function tests in apparently normal people?	true
2324	What is the reference to that article on what to do with abnormal liver function tests in apparently normal people?  How do you work them up?	What is causing her dysuria?  (urinalysis is negative)	false
2325	What causes peeling fingernails where the ends of the nails flake off?  What is this called?	What causes peeling fingernails where the ends of the nails flake off?	true
2326	What causes peeling fingernails where the ends of the nails flake off?  What is this called?	Woman in early 30's with chest pain. Know in my gut she doesn't have heart disease. How far to workup?	false
2327	What was the reference to that article on unexplained crying in infancy?	What was the reference to that article on unexplained crying in infancy?	true
2328	What was the reference to that article on unexplained crying in infancy?	Podiatrist doesn't know either. It's either a wart or a corn.	false
2329	What percent of women bleed with continuous estrogen (0.625 milligrams) and Provera (2.5 milligrams) replacement therapy for menopause?  If bleeding occurs is an endometrial biopsy necessary?  Should a bone density be done first?	What percent of women bleed with continuous estrogen (0.625 milligrams) and Provera (2.5 milligrams) replacement therapy?	true
2330	What percent of women bleed with continuous estrogen (0.625 milligrams) and Provera (2.5 milligrams) replacement therapy for menopause?  If bleeding occurs is an endometrial biopsy necessary?  Should a bone density be done first?	What is a good source to teach residents to repair fourth-degree lacerations?	false
2331	Are nonsteroidal antiinflammatory drugs used for the inflammation of renal stones?  Apparently urology clinic does that at Hospital X.	Are nonsteroidal antiinflammatory drugs used for the inflammation of renal stones?	true
2332	Are nonsteroidal antiinflammatory drugs used for the inflammation of renal stones?  Apparently urology clinic does that at Hospital X.	I wonder if this patient could have a rotator cuff thing?	false
2333	What is the reference to that article that said to use estrogen even if after 20 years of menopause?	What is the article that said to use estrogen even after 20 years of menopause?	true
2334	What is the reference to that article that said to use estrogen even if after 20 years of menopause?	What are the causes of tinnitus?	false
2335	How good is the evidence that topical anesthetics cause eye damage?	How good is the evidence that topical anesthetics cause eye damage?	true
2336	How good is the evidence that topical anesthetics cause eye damage?	Let's give these immunizations.  That's right isn't it?	false
2337	What medical problems and health maintenance things should you be aware of with someone with Down syndrome both as an adult and as a child?	What medical problems and health maintenance things should you be aware of with Down syndrome?	true
2338	What medical problems and health maintenance things should you be aware of with someone with Down syndrome both as an adult and as a child?	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	false
2339	How do you treat refractory heel pain syndrome?	How do you treat refractory heel pain syndrome?	true
2340	How do you treat refractory heel pain syndrome?	Is this rash shingles or staphylococcal impetigo?	false
2341	What was that brief article in JAMA about taking care of speakers?	What was that article in JAMA about taking care of speakers?	true
2342	What is the best way to sedate someone on a respirator?	What is the best way to sedate someone on a respirator?	true
2343	What is the best way to sedate someone on a respirator?	Is melatonin good for anything?  What is the dose?	false
2344	How do you interpret the international normalized ratio when adjusting the Coumadin dose?	How do you interpret the international normalized ratio when adjusting the Coumadin dose?	true
2345	How do you interpret the international normalized ratio when adjusting the Coumadin dose?	Boys' father has Marfan's Syndrome. Do these boys need further evaluation?	false
2346	What would cause a red indurated isolated area on the lower leg?  (panniculitis?, Erythema nodosum?)	What would cause a red indurated area on the lower leg?	true
2347	What would cause a red indurated isolated area on the lower leg?  (panniculitis?, Erythema nodosum?)	52-year-old female, sister died of breast cancer at age 34. Should she be on hormone replacement therapy?	false
2348	How should you evaluate gynecomastia in an adolescent boy?	How should you evaluate gynecomastia in an adolescent boy?	true
2349	How should you evaluate gynecomastia in an adolescent boy?	I can feel pounding aorta in this 58-year-old man. I'm not sure if it's normal.	false
2350	Does direct bilirubin elevation cause kernicterus?	Does direct bilirubin elevation cause kernicterus?	true
2351	Should we be doing triple screening (maternal serum alpha fetoprotein, human chorionic gonadotrophin, unconjugated estriol concentrations) on all prenatal patients?	Should we be doing triple screening (maternal serum alpha fetoprotein, human chorionic gonadotrophin, unconjugated estriol concentrations) on all prenatal patients?	true
2352	Should we be doing triple screening (maternal serum alpha fetoprotein, human chorionic gonadotrophin, unconjugated estriol concentrations) on all prenatal patients?	Why wasn't this patient very sick? (large empyema and Haemophilus influenza in sputum)	false
2353	What is the association between alcoholism and diabetes?  Does alcoholism cause diabetes?	What is the association between alcoholism and diabetes?	true
2354	What is the association between alcoholism and diabetes?  Does alcoholism cause diabetes?	What is a good steroid eye drop?	false
2355	What would cause a low serum albumin in a postpartum patient with endometritis?	What would cause a low serum albumin in a postpartum patient with endometritis?	true
2356	What would cause a low serum albumin in a postpartum patient with endometritis?	How should I treat polymenorrhea in a 14-year-old girl?	false
2357	Do we need to worry about thrombocytopenia or other side effects in someone on long term heparin?	Do we need to worry about thrombocytopenia in someone on long term heparin?	true
2358	Do we need to worry about thrombocytopenia or other side effects in someone on long term heparin?	How do you inject the bicipital tendon?	false
2359	Is it normal for some laboratory values to look worse before they look better in someone with alcoholic liver disease and big spleen after you take them off alcohol?	Is it normal for some laboratory values to look worse before they look better after coming off alcohol?	true
2360	What causes intractable hiccups?	What causes intractable hiccups?	true
2361	What causes intractable hiccups?	What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)	false
2362	What would cause a dry mouth (xerostomia) in an elderly woman with lung cancer and chronic obstructive pulmonary disease and only medication is digoxin?	What would cause a dry mouth (xerostomia)?	true
2363	What would cause a dry mouth (xerostomia) in an elderly woman with lung cancer and chronic obstructive pulmonary disease and only medication is digoxin?	Why wasn't this patient very sick? (large empyema and Haemophilus influenza in sputum)	false
2364	What are the indications for Digibind (digoxin immune fab)?	What are the indications for Digibind (digoxin immune fab)?	true
2365	What are the indications for Digibind (digoxin immune fab)?	What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)	false
2366	Would a brain tumor elevate the gamma-glutamyl transferase and cause a low albumin?	Would a brain tumor elevate the gamma-glutamyl transferase and cause a low albumin?	true
2367	Would a brain tumor elevate the gamma-glutamyl transferase and cause a low albumin?	Let's give these immunizations.  That's right isn't it?	false
2368	What would cause a low lactate dehydrogenase and low alkaline phosphatase?	What would cause a low lactate dehydrogenase and low alkaline phosphatase?	true
2369	What would cause a low lactate dehydrogenase and low alkaline phosphatase?	Boys' father has Marfan's Syndrome. Do these boys need further evaluation?	false
2370	When you do a temporal artery biopsy, how long a segment should you get, and should you do both sides right off the bat?	When you do a temporal artery biopsy, how long a segment should you get?	true
2371	When you do a temporal artery biopsy, how long a segment should you get, and should you do both sides right off the bat?	What is the cause and treatment of this old man's stomatitis?	false
2372	What is central pontine myelinosis?  We gave hypertonic saline to a patient with hyponatremia and Dr. X warned about this.	What is central pontine myelinosis?	true
2373	What is central pontine myelinosis?  We gave hypertonic saline to a patient with hyponatremia and Dr. X warned about this.	How do you inject the bicipital tendon?	false
2374	How do you workup microscopic hematuria in an adult?	How do you workup microscopic hematuria in an adult?	true
2375	How do you workup microscopic hematuria in an adult?	Nurse asked doctor about dose of Valtrex when noting visit on chart. He looked it up.	false
2376	What is the formula for anion gap?  What causes anion gap and nonanion gap acidosis?	What is the formula for anion gap?	true
2377	What is the formula for anion gap?  What causes anion gap and nonanion gap acidosis?	How should I treat polymenorrhea in a 14-year-old girl?	false
2378	How likely is it to have no fever in an elderly debilitated person with pneumonia?	How likely is it to have no fever in an elderly person with pneumonia?	true
2379	How likely is it to have no fever in an elderly debilitated person with pneumonia?	What is the dose of Neurontin?	false
2380	Has the use of prophylactic heparin been studied to prevent pulmonary embolus in patients with congestive heart failure?	Has prophylactic heparin been studied to prevent pulmonary embolus in patients with congestive heart failure?	true
2381	Has the use of prophylactic heparin been studied to prevent pulmonary embolus in patients with congestive heart failure?	Maneuver mentioned at continuing medical education course for vertigo, couldn't remember how to do it or name of it.	false
2382	Does the c-reactive protein go up with temporal arteritis or polymyalgia rheumatica?	Does the c-reactive protein go up with temporal arteritis or polymyalgia rheumatica?	true
2383	Does the c-reactive protein go up with temporal arteritis or polymyalgia rheumatica?	What antibiotic should I use for this diabetic patient's infected foot ulcer?	false
2384	What was that reference that said you didn't need to get a blood culture if the fever wasn't at least a certain level?	What was that reference that said you didn't need to get a blood culture if the fever wasn't a certain level?	true
2385	What was that reference that said you didn't need to get a blood culture if the fever wasn't at least a certain level?	What is in Ortho Novum 1/35?	false
2386	What should you do about hyperplastic polyps?	What should you do about hyperplastic polyps?	true
2387	What should you do about hyperplastic polyps?	How should I treat polymenorrhea in a 14-year-old girl?	false
2388	What is herpes gladiatorum?  How do you treat it?	What is herpes gladiatorum?	true
2389	What is herpes gladiatorum?  How do you treat it?	How should I treat polymenorrhea in a 14-year-old girl?	false
2390	What is the pivot-shift test?	What is the pivot-shift test?	true
2391	What is the pivot-shift test?	How to convince someone they are depressed when they don't want to accept it?	false
2392	How likely is it that someone with a high erythrocyte sedimentation rate but normal c-reactive protein would have polymyalgia rheumatica or temporal arteritis?	How likely is it that someone with a high erythrocyte sedimentation rate but normal c-reactive protein would have polymyalgia rheumatica?	true
2393	How likely is it that someone with a high erythrocyte sedimentation rate but normal c-reactive protein would have polymyalgia rheumatica or temporal arteritis?	Should we switch to Ancef for this diabetic foot ulcer? Improvement adequate?	false
2394	Are the new birth control pills from Ortho (Ortho-Cept, Ortho Tri-cyclen, Ortho-cyclen) better than the usual minidose pills?	Are the new birth control pills (Ortho-Cept, Ortho Tri-cyclen, Ortho-cyclen) better than the usual pills?	true
2395	Are the new birth control pills from Ortho (Ortho-Cept, Ortho Tri-cyclen, Ortho-cyclen) better than the usual minidose pills?	Can you use Prozac along with lithium?	false
2396	What is BOOP (bronchiolitis obliterans and organizing pneumonia)?	What is BOOP (bronchiolitis obliterans and organizing pneumonia)?	true
2397	Why does the prenatal amniocentesis questionnaire ask if the patient is Asian, Pacific Islander or Alaskan Eskimo?	Why does the prenatal questionnaire ask if the patient is Asian, Pacific Islander or Alaskan Eskimo?	true
2398	Why does the prenatal amniocentesis questionnaire ask if the patient is Asian, Pacific Islander or Alaskan Eskimo?	Patient not getting better from epicondylitis after physical therapy and nonsteroidal anti-inflammatory drugs; what to do?	false
2399	Can blood substitutes be made immediately available for obstetric patients who are Jehovah's witnesses?	Are blood substitutes immediately available for obstetric patients who are Jehovah's witnesses?	true
2400	Can blood substitutes be made immediately available for obstetric patients who are Jehovah's witnesses?	What antibiotics can he take because he's on a nevirapine study?	false
2401	What should you do if an obstetric patient has a family history of sickle cell trait (mother and father both have trait, brother has the disease)?	What should you do if an obstetric patient has a family history of sickle cell trait?	true
2402	What should you do if an obstetric patient has a family history of sickle cell trait (mother and father both have trait, brother has the disease)?	Is there more support we can provide patients with macular degeneration?	false
2403	If you have lactose intolerance, is it okay to drink yogurt or sweet acidophilus milk?	If you have lactose intolerance, is it okay to eat yogurt or sweet acidophilus milk?	true
2404	If you have lactose intolerance, is it okay to drink yogurt or sweet acidophilus milk?	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	false
2405	At what gestational age (how young) is it not very useful to do a fetal biophysical profile and nonstress test because gestational age is too low?	At what gestational age is it too early to do a fetal biophysical profile and nonstress test?	true
2406	At what gestational age (how young) is it not very useful to do a fetal biophysical profile and nonstress test because gestational age is too low?	How do you use Redux?  What are the indications?	false
2407	Does vasectomy cause an increased chance of prostate cancer?	Does vasectomy a risk factor for prostate cancer?	true
2408	Does vasectomy cause an increased chance of prostate cancer?	How do you inject the bicipital tendon?	false
2409	Is Parkinson's Disease hereditary?	Is Parkinson's Disease hereditary?	true
2410	Is Parkinson's Disease hereditary?	What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)	false
2411	What are the causes of sinus tachycardia?	What are the causes of sinus tachycardia?	true
2412	What are the causes of sinus tachycardia?	How should I workup this baby with a single umbilical artery?	false
2413	Do angiotensin converting enzyme inhibitors aggravate glaucoma (for example, Plendil)?	Do angiotensin converting enzyme inhibitors aggravate glaucoma?	true
2414	Do angiotensin converting enzyme inhibitors aggravate glaucoma (for example, Plendil)?	I wonder if this patient could have a rotator cuff thing?	false
2415	Are there any recent review articles on colposcopy and LEEP (loop electrosurgical excision procedure)?	Are there any recent review articles on colposcopy and LEEP (loop electrosurgical excision procedure)?	true
